AVOIDS ENORMOUS NETWORK PAYLOADS
URL;TRANSFER SIZE
https://www.kataweb.it/static/shared/cf_bg_network_newbg.gif;685.9570000087842 ms;image/gif text;http/1.1 text;43 bytes;Image text;545.8879999932833 ms;200 text;717 bytes
http://it.wikipedia.org/;2732.266000006348 ms;text/plain text;http/1.1 text; bytes; text;2717.189999995753 ms;301 text;645 bytes
https://it.wikipedia.org/;2762.5070000067353 ms;text/html text;http/1.1 text; bytes; text;2732.6459999894723 ms;301 text;1752 bytes
https://it.wikipedia.org/wiki/Pagina_principale;3385.8490000129677 ms;text/html text;h2 text;122408 bytes;Document text;2762.8890000050887 ms;200 text;27218 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediaBadges%7Cskins.vector.styles.legacy&only=styles&skin=vector;3423.8550000009127 ms;text/css text;h2 text;41239 bytes;Stylesheet text;3398.3550000120886 ms;200 text;10473 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=startup&only=scripts&raw=1&skin=vector;3427.3619999876246 ms;text/javascript text;h2 text;60322 bytes;Script text;3398.587999981828 ms;200 text;20923 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.gadget.PDCStriker&only=styles&skin=vector;3415.274999977555 ms;text/css text;h2 text;862 bytes;Stylesheet text;3398.9050000091083 ms;200 text;1563 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=site.styles&only=styles&skin=vector;3427.908000012394 ms;text/css text;h2 text;6019 bytes;Stylesheet text;3399.1060000262223 ms;200 text;3025 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Crystal_Clear_app_xmag.svg/15px-Crystal_Clear_app_xmag.svg.png;3429.0150000015274 ms;image/png text;h2 text;640 bytes;Image text;3416.5560000110418 ms;200 text;2072 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/1rightarrow.png/15px-1rightarrow.png;3432.2640000027604 ms;image/webp text;h2 text;464 bytes;Image text;3417.1799999894574 ms;200 text;1838 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Nuvola_apps_bookcase_simplified.svg/15px-Nuvola_apps_bookcase_simplified.svg.png;3433.5880000144243 ms;image/png text;h2 text;1287 bytes;Image text;3417.3290000180714 ms;200 text;2747 bytes
https://upload.wikimedia.org/wikipedia/commons/8/8c/Bluebg_rounded_croped.png;3432.6749999891035 ms;image/png text;h2 text;6655 bytes;Image text;3417.483999975957 ms;200 text;8089 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/W-circle.svg/38px-W-circle.svg.png;3437.1050000190735 ms;image/png text;h2 text;1247 bytes;Image text;3417.6619999925606 ms;200 text;2620 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/HSTools.svg/38px-HSTools.svg.png;3433.879000018351 ms;image/png text;h2 text;2027 bytes;Image text;3417.8110000211746 ms;200 text;3401 bytes
